encoder,seconds,current (A),charge (C)
2152.0,0.308,0.5222,0.1608376
2239.0,0.315,0.75879999999999992,0.23902199999999998
2703.0,0.35299999999999998,0.014800000000000001,0.0052243999999999997
2793.0,0.35999999999999999,0.015300000000000001,0.0055079999999999999
3064.0,0.38200000000000001,0.021899999999999999,0.0083657999999999996
3158.0,0.39000000000000001,0.033100000000000004,0.012909000000000002
3455.0,0.41299999999999998,0.38739999999999997,0.15999619999999998
3559.0,0.41999999999999998,0.6149,0.25825799999999999
3879.0,0.443,1.1549,0.51162070000000004
3985.0,0.45100000000000001,0.0143,0.0064493000000000007
4090.0,0.45800000000000002,0.013800000000000002,0.0063204000000000012
4195.0,0.46500000000000002,1.0242,0.47625300000000004
4300.0,0.47299999999999998,0.92020000000000002,0.43525459999999999
4407.0,0.48099999999999998,0.017100000000000001,0.0082251000000000008
4514.0,0.48899999999999999,0.0189,0.0092420999999999996
4840.0,0.51100000000000001,0.098599999999999993,0.050384599999999995
4951.0,0.51800000000000002,0.28949999999999998,0.14996099999999998
5512.0,0.55600000000000005,0.010800000000000001,0.0060048000000000011
5622.0,0.56399999999999995,1.2552999999999999,0.70798919999999987
5969.0,0.58599999999999997,0.015099999999999999,0.0088485999999999981
6092.0,0.59399999999999997,0.60399999999999998,0.35877599999999998
6459.0,0.61699999999999999,0.064799999999999996,0.039981599999999999
6581.0,0.624,0.12490000000000001,0.07793760000000001
7174.0,0.66200000000000003,0.0141,0.0093342000000000008
7298.0,0.66900000000000004,1.0176000000000001,0.68077440000000011
7424.0,0.67700000000000005,1.0,0.67700000000000005
7549.0,0.68400000000000005,0.0134,0.0091656000000000012
7674.0,0.69299999999999995,0.0155,0.010741499999999999
7798.0,0.69999999999999996,0.67679999999999996,0.47375999999999996
7922.0,0.70699999999999996,0.0195,0.013786499999999998
8302.0,0.72899999999999998,0.14940000000000001,0.1089126
8433.0,0.73799999999999999,0.2863,0.21128939999999999
8816.0,0.76000000000000001,0.010699999999999999,0.0081320000000000003
8943.0,0.76700000000000002,0.93589999999999995,0.71783529999999995
9330.0,0.79000000000000004,0.012800000000000001,0.010112000000000001
9462.0,0.79800000000000004,0.81570000000000009,0.65092860000000008
9860.0,0.82099999999999995,0.020899999999999998,0.017158899999999998
9994.0,0.82799999999999996,0.26430000000000003,0.21884040000000002
10392.0,0.84999999999999998,0.051700000000000003,0.043944999999999998
10524.0,0.85799999999999998,0.019199999999999998,0.016473599999999998
10925.0,0.88100000000000001,0.011300000000000001,0.0099553000000000003
11060.0,0.88800000000000001,0.012,0.010656000000000001
11195.0,0.89500000000000002,0.91300000000000003,0.81713500000000006
11333.0,0.90400000000000003,0.012800000000000001,0.0115712
11470.0,0.91100000000000003,0.013699999999999999,0.012480699999999999
11883.0,0.93300000000000005,0.025600000000000001,0.023884800000000001
12023.0,0.94099999999999995,0.0436,0.041027599999999997
12426.0,0.96399999999999997,0.48560000000000003,0.46811839999999999
12555.0,0.97099999999999997,0.66570000000000007,0.6463947000000001
12961.0,0.99399999999999999,0.95189999999999997,0.94618859999999994
13101.0,1.002,0.011699999999999999,0.011723399999999998
13242.0,1.0089999999999999,0.0123,0.012410699999999998
13385.0,1.016,0.74129999999999996,0.75316079999999996
13526.0,1.024,0.69110000000000005,0.70768640000000005
13667.0,1.032,0.0161,0.0166152
13811.0,1.0389999999999999,0.017899999999999999,0.018598099999999999
13954.0,1.0469999999999999,0.2752,0.28813439999999996
14098.0,1.054,0.16350000000000001,0.17232900000000001
14535.0,1.077,0.020199999999999999,0.021755399999999998
14682.0,1.085,0.0103,0.0111755
15413.0,1.1220000000000001,0.74860000000000004,0.83992920000000015
15554.0,1.1299999999999999,0.0129,0.014576999999999998
15982.0,1.1519999999999999,0.30499999999999999,0.35135999999999995
16127.0,1.1599999999999999,0.042299999999999997,0.049067999999999994
16882.0,1.1970000000000001,0.71550000000000002,0.85645350000000009
17035.0,1.206,0.0121,0.014592599999999999
17188.0,1.2130000000000001,0.010800000000000001,0.013100400000000002
17610.0,1.2350000000000001,0.013300000000000001,0.016425500000000003
17749.0,1.242,0.64770000000000005,0.80444340000000003
18184.0,1.2649999999999999,0.031800000000000002,0.040226999999999999

