encoder,seconds,current (A),charge (C)
2003.0,0.314,0.24759999999999999,0.077746399999999993
2084.0,0.32100000000000001,0.16009999999999999,0.051392099999999996
2166.0,0.32800000000000001,0.4168,0.13671040000000001
2250.0,0.33700000000000002,0.043700000000000003,0.014726900000000001
2336.0,0.34399999999999997,0.72609999999999997,0.24977839999999996
2596.0,0.36599999999999999,0.014199999999999999,0.0051971999999999999
2684.0,0.374,1.2687999999999999,0.47453119999999999
2946.0,0.39700000000000002,0.019,0.0075430000000000002
3032.0,0.40400000000000003,0.73280000000000001,0.29605120000000001
3306.0,0.42699999999999999,0.060600000000000001,0.025876199999999999
3403.0,0.434,0.1835,0.079639000000000001
3499.0,0.442,0.1082,0.047824400000000003
3592.0,0.44900000000000001,0.50990000000000002,0.22894510000000001
3685.0,0.45700000000000002,0.025100000000000001,0.0114707
3776.0,0.46500000000000002,0.014500000000000001,0.0067425000000000011
3866.0,0.47199999999999998,1.0349999999999999,0.48851999999999995
3959.0,0.47999999999999998,1.2624000000000002,0.60595200000000005
4054.0,0.48699999999999999,0.014199999999999999,0.0069153999999999995
4151.0,0.49399999999999999,0.015599999999999999,0.0077063999999999995
4251.0,0.502,1.0465,0.525343
4555.0,0.52500000000000002,0.022499999999999999,0.0118125
4659.0,0.53200000000000003,0.42430000000000001,0.22572760000000003
5376.0,0.58499999999999996,0.0115,0.0067274999999999991
5480.0,0.59299999999999997,0.0124,0.007353199999999999
6021.0,0.63,0.87939999999999996,0.55402200000000001
6125.0,0.63800000000000001,0.60450000000000004,0.38567100000000004
6226.0,0.64600000000000002,0.031800000000000002,0.020542800000000003
6327.0,0.65300000000000002,0.35020000000000001,0.22868060000000001
6432.0,0.66000000000000003,0.24659999999999999,0.16275600000000001
6537.0,0.66800000000000004,0.12459999999999999,0.083232799999999996
6646.0,0.67600000000000005,0.30630000000000002,0.20705880000000002
6986.0,0.69799999999999995,0.751,0.52419799999999994
7100.0,0.70599999999999996,0.87039999999999995,0.61450239999999989
7437.0,0.72899999999999998,1.1789000000000001,0.85941810000000007
7543.0,0.73599999999999999,0.97099999999999997,0.71465599999999996
7860.0,0.75800000000000001,0.53479999999999994,0.40537839999999997
7969.0,0.76700000000000002,0.027899999999999998,0.0213993
8790.0,0.81899999999999995,0.011800000000000001,0.0096642000000000013
8905.0,0.82599999999999996,1.0221,0.84425459999999997
9018.0,0.83399999999999996,1.0626,0.88620840000000001
9135.0,0.84099999999999997,0.0155,0.0130355
9252.0,0.84999999999999998,0.0141,0.011984999999999999
9369.0,0.85699999999999998,0.89570000000000005,0.76761489999999999
9485.0,0.86399999999999999,0.0178,0.015379199999999999
9600.0,0.872,0.022800000000000001,0.019881599999999999
9713.0,0.879,0.50370000000000004,0.44275230000000004
9827.0,0.88600000000000001,0.37760000000000005,0.33455360000000006
9945.0,0.89500000000000002,0.053399999999999996,0.047792999999999995
10304.0,0.91700000000000004,0.042599999999999999,0.0390642
10428.0,0.92400000000000004,0.66220000000000001,0.61187279999999999
11044.0,0.96199999999999997,0.010199999999999999,0.0098123999999999989
11170.0,0.96899999999999997,0.013900000000000001,0.013469100000000001
11542.0,0.99299999999999999,0.0207,0.0205551
11663.0,1.0,0.3967,0.3967
12034.0,1.0229999999999999,0.189,0.19334699999999999
12161.0,1.03,0.0717,0.073851
12286.0,1.038,0.030300000000000001,0.031451400000000004
12410.0,1.0449999999999999,0.66949999999999998,0.69962749999999996
12534.0,1.052,0.80000000000000004,0.84160000000000013
12661.0,1.0609999999999999,0.011800000000000001,0.012519800000000001
12791.0,1.0680000000000001,0.0147,0.015699600000000001
12920.0,1.0760000000000001,1.0775999999999999,1.1594975999999999
13049.0,1.083,0.95929999999999993,1.0389218999999998
13179.0,1.0900000000000001,0.014800000000000001,0.016132000000000001
13309.0,1.0980000000000001,0.017500000000000002,0.019215000000000003
13687.0,1.121,0.037600000000000001,0.042149600000000002
13813.0,1.1279999999999999,0.2525,0.28481999999999996
13940.0,1.135,0.16240000000000002,0.18432400000000002
14069.0,1.143,0.27439999999999998,0.31363919999999995
14462.0,1.1659999999999999,0.0112,0.013059199999999998
14593.0,1.173,0.85880000000000001,1.0073723999999999
14976.0,1.196,1.0217000000000001,1.2219532
15106.0,1.204,0.80840000000000001,0.9733136
15500.0,1.226,0.4773,0.58516979999999996
15633.0,1.234,0.3362,0.41487079999999998
15767.0,1.242,0.0453,0.056262600000000003
15901.0,1.2490000000000001,0.088300000000000003,0.11028670000000002
16033.0,1.256,0.1041,0.13074959999999999
16434.0,1.2789999999999999,0.73950000000000005,0.94582049999999995
16564.0,1.2869999999999999,0.0112,0.014414399999999999
16960.0,1.3089999999999999,0.013900000000000001,0.018195099999999999
17092.0,1.3169999999999999,0.013599999999999999,0.017911199999999999
17741.0,1.3540000000000001,0.29860000000000003,0.40430440000000006
17872.0,1.3620000000000001,0.193,0.26286600000000004
18253.0,1.3839999999999999,0.033399999999999999,0.046225599999999999
18377.0,1.3919999999999999,0.68200000000000005,0.94934399999999997
18502.0,1.399,0.85750000000000004,1.1996425000000002
18628.0,1.4079999999999999,0.011900000000000001,0.016755200000000001
18758.0,1.415,0.011300000000000001,0.0159895
18889.0,1.4219999999999999,1.0679000000000001,1.5185538000000001
19023.0,1.4299999999999999,0.95169999999999999,1.3609309999999999
19158.0,1.4370000000000001,0.0143,0.020549100000000001
19296.0,1.4450000000000001,0.015300000000000001,0.022108500000000003
19957.0,1.482,0.16090000000000002,0.23845380000000002
20087.0,1.4910000000000001,0.26789999999999997,0.39943889999999999
20476.0,1.5129999999999999,0.010999999999999999,0.016642999999999998
20608.0,1.52,0.91410000000000002,1.389432
21013.0,1.5429999999999999,0.013699999999999999,0.021139099999999997
21147.0,1.5509999999999999,0.86960000000000004,1.3487496000000001
21543.0,1.5740000000000001,0.54479999999999995,0.85751519999999992
21678.0,1.581,0.3755,0.59366549999999996
21815.0,1.5880000000000001,0.043299999999999998,0.068760399999999999
21952.0,1.5960000000000001,0.092200000000000004,0.14715120000000001
22087.0,1.603,0.1128,0.18081839999999999
22222.0,1.6100000000000001,0.048399999999999999,0.077924000000000007
22356.0,1.619,0.53920000000000001,0.87296479999999999
22492.0,1.6259999999999999,0.72329999999999994,1.1760857999999998
22627.0,1.6339999999999999,0.0109,0.017810599999999999
22765.0,1.641,0.0112,0.018379199999999998
22903.0,1.6479999999999999,1.0099,1.6643151999999999
23593.0,1.6859999999999999,0.022699999999999998,0.038272199999999992
23728.0,1.6930000000000001,0.0292,0.049435600000000003
24147.0,1.7170000000000001,0.15990000000000001,0.27454830000000002
24291.0,1.724,0.34279999999999999,0.59098719999999993
24693.0,1.7470000000000001,0.77870000000000006,1.3603889000000002
24823.0,1.754,0.011699999999999999,0.020521799999999996
25520.0,1.792,0.0135,0.024192000000000002
25663.0,1.8,0.53670000000000007,0.96606000000000014
25803.0,1.8069999999999999,0.4516,0.81604120000000002
25939.0,1.8140000000000001,0.0356,0.064578400000000008
26072.0,1.8220000000000001,0.2266,0.41286519999999999

