encoder,seconds,current (A),charge (C)
2102.0,0.33000000000000002,0.18590000000000001,0.061347000000000006
2181.0,0.33700000000000002,0.2303,0.077611100000000002
2593.0,0.375,0.0144,0.0054000000000000003
2679.0,0.38200000000000001,0.010699999999999999,0.0040873999999999997
2946.0,0.40500000000000003,0.0166,0.0067230000000000007
3040.0,0.41299999999999998,0.0172,0.0071035999999999998
3137.0,0.41999999999999998,0.43089999999999995,0.18097799999999997
3234.0,0.42699999999999999,0.30380000000000001,0.12972259999999999
3329.0,0.436,0.049700000000000001,0.0216692
3423.0,0.443,0.123,0.054489000000000003
3521.0,0.45000000000000001,0.06409999999999999,0.028844999999999996
3815.0,0.47299999999999998,0.75109999999999999,0.35527029999999998
3909.0,0.48099999999999998,0.012800000000000001,0.0061568000000000005
4401.0,0.51900000000000002,0.54059999999999997,0.28057139999999997
4507.0,0.52600000000000002,0.40939999999999999,0.21534439999999999
4829.0,0.54800000000000004,0.16490000000000002,0.090365200000000021
4940.0,0.55600000000000005,0.085500000000000007,0.047538000000000011
5276.0,0.57899999999999996,0.0121,0.0070058999999999989
5381.0,0.58599999999999997,0.0124,0.0072663999999999992
5485.0,0.59299999999999997,0.89479999999999993,0.53061639999999988
5590.0,0.60099999999999998,0.0129,0.0077529000000000001
5696.0,0.60899999999999999,0.0129,0.0078560999999999995
5804.0,0.61699999999999999,0.72429999999999994,0.44689309999999999
5914.0,0.624,0.6502,0.4057248
6263.0,0.64700000000000002,0.2641,0.17087270000000002
6383.0,0.65400000000000003,0.1663,0.1087602
6741.0,0.67700000000000005,0.028199999999999999,0.019091400000000001
6859.0,0.68400000000000005,0.012500000000000001,0.0085500000000000003
7209.0,0.70699999999999996,0.012199999999999999,0.0086253999999999983
7329.0,0.71399999999999997,0.0123,0.0087822000000000004
7453.0,0.72199999999999998,0.70389999999999997,0.5082158
7577.0,0.72899999999999998,0.59379999999999999,0.43288019999999999
7699.0,0.73699999999999999,0.015599999999999999,0.011497199999999999
7822.0,0.745,0.020799999999999999,0.015495999999999999
7944.0,0.752,0.28070000000000001,0.21108640000000001
8317.0,0.77500000000000002,0.0809,0.062697500000000003
8444.0,0.78300000000000003,0.039299999999999995,0.030771899999999998
8812.0,0.80500000000000005,0.012199999999999999,0.0098209999999999999
8935.0,0.81200000000000006,0.011699999999999999,0.0095003999999999991
9316.0,0.83499999999999996,0.0132,0.011021999999999999
9447.0,0.84299999999999997,0.0146,0.012307799999999999
9581.0,0.84999999999999998,0.52300000000000002,0.44455
9716.0,0.85699999999999998,0.33210000000000001,0.28460970000000002
9853.0,0.86599999999999999,0.025899999999999999,0.022429399999999999
10254.0,0.88800000000000001,0.26189999999999997,0.23256719999999997
10384.0,0.89500000000000002,0.42899999999999999,0.38395499999999999
11078.0,0.93300000000000005,0.011599999999999999,0.0108228
11219.0,0.93999999999999995,0.011800000000000001,0.011092000000000001
11632.0,0.96299999999999997,0.016800000000000002,0.016178400000000003
11772.0,0.97099999999999997,0.022499999999999999,0.021847499999999999
12185.0,0.99399999999999999,0.1804,0.17931759999999999
12321.0,1.0009999999999999,0.041200000000000001,0.041241199999999999
12460.0,1.0089999999999999,0.016300000000000002,0.016446700000000002
12601.0,1.016,0.56820000000000004,0.5772912
12744.0,1.0229999999999999,0.61850000000000005,0.63272549999999994
12890.0,1.032,0.013800000000000002,0.014241600000000002
13038.0,1.0389999999999999,0.0111,0.0115329
13495.0,1.0620000000000001,0.0143,0.015186600000000001
13647.0,1.069,0.015599999999999999,0.016676399999999997
14069.0,1.0920000000000001,0.040100000000000004,0.043789200000000007
14208.0,1.099,0.096599999999999991,0.10616339999999999
14627.0,1.1220000000000001,0.4854,0.54461880000000007
14770.0,1.1299999999999999,0.010699999999999999,0.012090999999999998
15517.0,1.1679999999999999,0.011300000000000001,0.013198400000000001
15674.0,1.175,0.013800000000000002,0.016215000000000004
16107.0,1.1970000000000001,0.032299999999999995,0.038663099999999999
16246.0,1.2050000000000001,0.12479999999999999,0.15038399999999999
16386.0,1.2130000000000001,0.1656,0.20087280000000002
