encoder,seconds,current (A),charge (C)
2009.0,0.30599999999999999,0.51049999999999995,0.15621299999999999
2089.0,0.314,0.025000000000000001,0.0078500000000000011
2170.0,0.32100000000000001,0.012699999999999999,0.0040766999999999999
2419.0,0.34399999999999997,0.014199999999999999,0.004884799999999999
2506.0,0.35199999999999998,0.0144,0.0050687999999999992
2770.0,0.375,0.017000000000000001,0.0063750000000000005
2860.0,0.38200000000000001,0.018200000000000001,0.0069524000000000001
3319.0,0.41999999999999998,0.1018,0.042756000000000002
3415.0,0.42699999999999999,0.45339999999999997,0.19360179999999999
3511.0,0.435,0.66179999999999994,0.287883
3607.0,0.442,0.0121,0.0053482
3906.0,0.46500000000000002,1.1262999999999999,0.52372949999999996
4007.0,0.47199999999999998,0.0135,0.0063719999999999992
4313.0,0.495,0.79059999999999997,0.391347
4418.0,0.503,0.016899999999999998,0.0085006999999999999
4739.0,0.52500000000000002,0.035700000000000003,0.018742500000000002
4845.0,0.53200000000000003,0.077900000000000011,0.041442800000000009
5393.0,0.56999999999999995,0.011900000000000001,0.006783
5506.0,0.57799999999999996,0.011599999999999999,0.0067047999999999995
5846.0,0.60099999999999998,0.012800000000000001,0.0076928000000000005
5960.0,0.60799999999999998,0.0144,0.0087551999999999994
6540.0,0.64600000000000002,0.28179999999999999,0.1820428
6657.0,0.65300000000000002,0.062399999999999997,0.040747199999999997
6774.0,0.66100000000000003,0.1915,0.12658150000000001
6893.0,0.66900000000000004,0.0654,0.043752600000000003
7014.0,0.67600000000000005,0.029899999999999999,0.020212400000000002
7136.0,0.68400000000000005,0.70340000000000003,0.48112560000000004
7256.0,0.69099999999999995,0.84599999999999997,0.58458599999999994
7870.0,0.72899999999999998,0.0135,0.0098414999999999996
7992.0,0.73599999999999999,0.82440000000000002,0.60675840000000003
8365.0,0.75900000000000001,0.021299999999999999,0.016166699999999999
8491.0,0.76700000000000002,0.30060000000000003,0.23056020000000002
9127.0,0.80500000000000005,0.0129,0.010384500000000001
9255.0,0.81200000000000006,0.78959999999999997,0.64115520000000004
