encoder,seconds,current (A),charge (C)
2055.0,0.30599999999999999,0.0373,0.0114138
2138.0,0.314,0.73320000000000007,0.23022480000000003
2568.0,0.35099999999999998,1.1965999999999999,0.42000659999999995
2656.0,0.35899999999999999,0.016199999999999999,0.0058157999999999994
2929.0,0.38200000000000001,0.0178,0.0067996000000000003
3022.0,0.38900000000000001,0.021700000000000001,0.0084413000000000005
3302.0,0.41199999999999998,0.099900000000000003,0.041158799999999995
3399.0,0.41999999999999998,0.27639999999999998,0.11608799999999998
3496.0,0.42699999999999999,0.056399999999999999,0.024082799999999998
3594.0,0.434,0.023,0.0099819999999999996
3692.0,0.442,0.80510000000000004,0.35585420000000001
3792.0,0.44900000000000001,0.90600000000000003,0.40679400000000004
3892.0,0.45800000000000002,0.0126,0.0057708000000000004
4405.0,0.495,0.88070000000000004,0.43594650000000001
4509.0,0.503,0.73160000000000003,0.36799480000000001
4824.0,0.52500000000000002,0.28299999999999997,0.14857499999999998
4931.0,0.53200000000000003,0.21259999999999998,0.1131032
5254.0,0.55500000000000005,0.032399999999999998,0.017982000000000001
5363.0,0.56299999999999994,0.014,0.0078820000000000001
5695.0,0.58599999999999997,0.012,0.0070320000000000001
5805.0,0.59299999999999997,1.1249,0.66706569999999998
6365.0,0.63100000000000001,0.57899999999999996,0.36534899999999998
6480.0,0.63800000000000001,0.020500000000000001,0.013079
6594.0,0.64600000000000002,0.0287,0.0185402
6940.0,0.66900000000000004,0.29010000000000002,0.19407690000000002
7056.0,0.67600000000000005,0.48680000000000001,0.3290768
7407.0,0.69799999999999995,0.92949999999999999,0.64879100000000001
7527.0,0.70699999999999996,0.011599999999999999,0.0082011999999999988
7885.0,0.72899999999999998,0.94310000000000005,0.68751990000000007
8004.0,0.73599999999999999,0.013900000000000001,0.010230400000000001
8610.0,0.77400000000000002,0.29020000000000001,0.2246148
8733.0,0.78100000000000003,0.19169999999999998,0.14971769999999998
9102.0,0.80400000000000005,0.0287,0.023074800000000003
9227.0,0.81200000000000006,0.0126,0.010231200000000001
9600.0,0.83499999999999996,0.011699999999999999,0.0097694999999999987
9726.0,0.84199999999999997,0.011800000000000001,0.009935600000000001
9852.0,0.84999999999999998,1.0012000000000001,0.85102
9978.0,0.85699999999999998,0.0129,0.011055300000000001
10103.0,0.86399999999999999,0.013900000000000001,0.0120096
10230.0,0.872,0.70099999999999996,0.61127199999999993

