encoder,seconds,current (A),charge (C)
2066.0,0.308,0.1341,0.041302800000000001
2147.0,0.315,0.10340000000000001,0.032571000000000003
2229.0,0.32200000000000001,0.0487,0.015681400000000002
2486.0,0.34399999999999997,0.0132,0.0045407999999999994
2574.0,0.35299999999999998,0.013300000000000001,0.0046949000000000001
3026.0,0.39100000000000001,0.8387,0.32793169999999999
3120.0,0.39800000000000002,0.63579999999999992,0.25304840000000001
3407.0,0.41999999999999998,0.30399999999999999,0.12767999999999999
3505.0,0.42799999999999999,0.080000000000000002,0.03424
3604.0,0.436,0.23139999999999999,0.10089039999999999
3704.0,0.443,0.063399999999999998,0.028086199999999999
3804.0,0.45100000000000001,0.025700000000000001,0.011590700000000001
3906.0,0.45800000000000002,0.71529999999999994,0.32760739999999999
4007.0,0.46500000000000002,0.92679999999999996,0.43096200000000001
4522.0,0.503,0.0141,0.0070923000000000002
4626.0,0.51100000000000001,0.014999999999999999,0.0076649999999999999
4944.0,0.53400000000000003,0.022499999999999999,0.012015
5052.0,0.54100000000000004,0.3054,0.16522140000000002
5373.0,0.56399999999999995,0.31939999999999996,0.18014159999999996
5482.0,0.57199999999999995,0.038700000000000005,0.022136400000000001
5815.0,0.59399999999999997,0.98160000000000003,0.58307039999999999
5926.0,0.60099999999999998,0.012,0.0072119999999999997
6266.0,0.624,0.0135,0.0084239999999999992
6381.0,0.63100000000000001,0.015900000000000001,0.010032900000000001
6494.0,0.63900000000000001,0.747,0.47733300000000001
6609.0,0.64700000000000002,0.64329999999999998,0.4162151
6725.0,0.65500000000000003,0.019300000000000001,0.012641500000000002
7076.0,0.67700000000000005,0.16930000000000001,0.11461610000000001
7193.0,0.68400000000000005,0.23180000000000001,0.1585512
7551.0,0.70699999999999996,0.0115,0.0081304999999999988
7671.0,0.71399999999999997,0.91589999999999994,0.65395259999999988
8032.0,0.73799999999999999,1.0016,0.73918079999999997
8155.0,0.745,0.89149999999999996,0.66416749999999991
8771.0,0.78300000000000003,0.021399999999999999,0.016756199999999999
8895.0,0.79000000000000004,0.0315,0.024885000000000001
9270.0,0.81200000000000006,0.37919999999999998,0.30791040000000003
9396.0,0.82099999999999995,0.035499999999999997,0.029145499999999994
9773.0,0.84299999999999997,0.84889999999999999,0.71562269999999994
9901.0,0.84999999999999998,0.0114,0.0096900000000000007
10030.0,0.85699999999999998,0.0099000000000000008,0.0084843000000000002
10157.0,0.86599999999999999,0.93670000000000009,0.81118220000000008
10285.0,0.873,0.82869999999999999,0.72345510000000002
10414.0,0.88100000000000001,0.013300000000000001,0.011717300000000002
10545.0,0.88800000000000001,0.76879999999999993,0.68269439999999992
10673.0,0.89500000000000002,0.61899999999999999,0.55400499999999997
10801.0,0.90400000000000003,0.017000000000000001,0.015368000000000001
11714.0,0.95599999999999996,0.0106,0.0101336
11846.0,0.96399999999999997,0.77749999999999997,0.7495099999999999
12515.0,1.0009999999999999,0.012500000000000001,0.012512499999999999
12650.0,1.0089999999999999,0.0135,0.013621499999999998
13329.0,1.0469999999999999,0.18099999999999999,0.18950699999999998
13467.0,1.054,0.1386,0.1460844
13605.0,1.0609999999999999,0.31169999999999998,0.33071369999999994
14012.0,1.0840000000000001,0.73060000000000003,0.79197040000000007
14149.0,1.0920000000000001,0.93320000000000003,1.0190544000000001
14560.0,1.1140000000000001,0.9919,1.1049766000000001
14698.0,1.1220000000000001,0.84929999999999994,0.95291460000000006
15116.0,1.1439999999999999,0.54279999999999995,0.62096319999999994
15254.0,1.1519999999999999,0.017500000000000002,0.020160000000000001
15677.0,1.175,0.1487,0.1747225
15817.0,1.1819999999999999,0.2195,0.25944899999999999
15959.0,1.1899999999999999,0.39960000000000001,0.475524
16101.0,1.1970000000000001,0.019,0.022742999999999999
16242.0,1.2050000000000001,0.0103,0.012411500000000001
16383.0,1.2130000000000001,0.75690000000000002,0.91811970000000009
16524.0,1.22,0.0109,0.013297999999999999
16665.0,1.2270000000000001,0.0106,0.013006200000000001
16806.0,1.2350000000000001,1.0007000000000001,1.2358645000000004
16944.0,1.242,0.90079999999999993,1.1187935999999998
17086.0,1.25,0.010699999999999999,0.013375
17798.0,1.288,0.030899999999999997,0.0397992
17942.0,1.296,0.17119999999999999,0.22187519999999999
18368.0,1.3180000000000001,0.031699999999999999,0.041780600000000001
18515.0,1.325,0.011900000000000001,0.0157675
18952.0,1.349,0.92810000000000004,1.2520069
19097.0,1.3560000000000001,0.0109,0.014780400000000001
19837.0,1.3939999999999999,0.014800000000000001,0.020631199999999999
19987.0,1.4019999999999999,0.34960000000000002,0.4901392
20434.0,1.425,0.10440000000000001,0.14877000000000001
20583.0,1.4330000000000001,0.27300000000000002,0.39120900000000003
20733.0,1.4399999999999999,0.036799999999999999,0.052991999999999997
20886.0,1.448,0.016300000000000002,0.023602400000000003
21038.0,1.4550000000000001,0.65720000000000001,0.95622600000000002
21188.0,1.464,0.75409999999999999,1.1040023999999999
21338.0,1.4710000000000001,0.010800000000000001,0.015886800000000003
21492.0,1.4790000000000001,0.011300000000000001,0.016712700000000004
21648.0,1.486,0.010999999999999999,0.016345999999999999
22108.0,1.51,0.56089999999999995,0.84695899999999991
22260.0,1.5169999999999999,0.014800000000000001,0.022451599999999999
22730.0,1.54,0.039,0.060060000000000002
22886.0,1.5489999999999999,0.13739999999999999,0.21283259999999998
23660.0,1.5880000000000001,0.74720000000000009,1.1865536000000001
23816.0,1.595,0.010500000000000001,0.016747500000000002
24295.0,1.6180000000000001,0.011300000000000001,0.018283400000000002
24457.0,1.6259999999999999,0.0124,0.020162399999999997
25261.0,1.665,0.044400000000000002,0.073926000000000006
25424.0,1.6739999999999999,0.1016,0.17007839999999999
25586.0,1.6819999999999999,0.2787,0.46877340000000001
26065.0,1.7050000000000001,0.0099000000000000008,0.016879500000000002
26550.0,1.7290000000000001,0.93489999999999995,1.6164421
26709.0,1.736,0.83929999999999993,1.4570247999999999
27194.0,1.76,0.012800000000000001,0.022528000000000003
27358.0,1.768,0.016500000000000001,0.029172
27525.0,1.776,0.017600000000000001,0.031257600000000003
28022.0,1.8,0.16319999999999998,0.29375999999999997
28184.0,1.8080000000000001,0.054399999999999997,0.098355200000000004
28684.0,1.831,0.0085000000000000006,0.015563500000000001
28851.0,1.839,0.010500000000000001,0.0193095
29343.0,1.863,0.010999999999999999,0.020492999999999997
29505.0,1.871,0.78500000000000003,1.4687350000000001
29992.0,1.895,0.015099999999999999,0.028614499999999998
30157.0,1.903,0.02,0.038060000000000004
30987.0,1.9419999999999999,0.46689999999999998,0.90671979999999996
31148.0,1.95,0.0088999999999999999,0.017354999999999999
