encoder,seconds,current (A),charge (C)
2290,0.337,0.1547,0.0521339
2372,0.345,0.0852,0.029394
2456,0.352,0.041,0.014432
2542,0.36,0.6945,0.25002
2630,0.368,0.8759,0.3223312
2717,0.375,0.0115,0.0043125
2805,0.382,0.0131,0.0050042
2895,0.39,1.1771,0.459069
2985,0.397,0.0142,0.0056374
3075,0.406,0.014,0.005684
3168,0.413,0.9304,0.3842552
3639,0.451,0.2406,0.1085106
3737,0.458,0.1396,0.0639368
4032,0.48,0.016,0.00768
4131,0.489,0.9181,0.4489509
4647,0.525,0.0137,0.0071925
4752,0.534,0.0149,0.0079566
5075,0.556,0.0217,0.0120652
5182,0.563,0.0296,0.0166648
5513,0.586,0.3219,0.1886334
5624,0.594,0.5005,0.297297
5736,0.601,0.0188,0.0112988
5848,0.608,0.0116,0.0070528
5960,0.617,0.9506,0.5865202
6072,0.624,0.012,0.007488
6186,0.632,0.0137,0.0086584
6300,0.639,1.1303,0.7222617
6415,0.646,0.9975,0.644385
6762,0.669,0.5884,0.3936396
6881,0.677,0.4574,0.3096598
7234,0.7,0.14,0.098
7353,0.707,0.0851,0.0601657
7963,0.745,1.0615,0.7908175
8088,0.752,0.0119,0.0089488
8463,0.775,0.7649,0.5927975
8590,0.782,0.0146,0.0114172
8970,0.805,0.3095,0.2491475
9096,0.812,0.0459,0.0372708
9481,0.835,0.4149,0.3464415
9610,0.843,0.5738,0.4837134
9738,0.85,0.0109,0.009265
9867,0.858,0.0092,0.0078936
9999,0.865,0.971,0.839915
10126,0.873,0.9855,0.8603415
10256,0.881,0.0115,0.0101315
