index,encoder1,encoder2,turn angle degrees,ms,mA
1.0,0.0,0.0,0.0,0.0,2169.7
1.0,3.0,4.0,0.0,7.0,2450.8
1.0,16.0,18.0,0.0,13.0,19.9
1.0,37.0,40.0,0.0,21.0,19.5
1.0,68.0,68.0,0.0,31.0,21.4
1.0,92.0,92.0,0.0,40.0,21.7
1.0,120.0,121.0,0.0,50.0,26.4
1.0,151.0,154.0,0.0,61.0,43.8
1.0,189.0,190.0,0.0,71.0,99.8
1.0,240.0,238.0,0.0,81.0,406.9
1.0,296.0,295.0,0.0,91.0,783.6
1.0,356.0,354.0,0.0,102.0,1074.6
1.0,420.0,418.0,0.0,112.0,1689.1
1.0,488.0,486.0,0.0,122.0,1674.9
1.0,560.0,558.0,0.0,132.0,1735.3
1.0,632.0,636.0,0.0,142.0,1528.4
1.0,712.0,718.0,0.0,153.0,18.8
1.0,796.0,803.0,0.0,162.0,20.8
1.0,882.0,893.0,0.0,172.0,21.6
1.0,972.0,986.0,0.0,182.0,40.0
1.0,1068.0,1080.0,0.0,193.0,277.8
1.0,1165.0,1175.0,0.0,203.0,408.7
1.0,1264.0,1276.0,0.0,213.0,726.1
1.0,1368.0,1382.0,0.0,223.0,1080.7
1.0,1476.0,1489.0,0.0,234.0,1199.1
1.0,1585.0,1601.0,0.0,244.0,1520.1
1.0,1700.0,1714.0,0.0,254.0,1458.9
1.0,1814.0,1827.0,0.0,263.0,1200.7
1.0,1927.0,1946.0,0.0,274.0,946.1
1.0,2048.0,2068.0,0.0,284.0,819.2
1.0,2171.0,2191.0,0.0,294.0,619.9
1.0,2296.0,2318.0,0.0,304.0,391.1
1.0,2424.0,2445.0,0.0,315.0,202.5
1.0,2551.0,2576.0,0.0,325.0,88.8
1.0,2680.0,2710.0,0.0,335.0,29.7
1.0,2815.0,2845.0,0.0,345.0,13.6
1.0,2952.0,2985.0,0.0,355.0,15.5
1.0,3090.0,3126.0,0.0,366.0,14.2
1.0,3228.0,3267.0,0.0,375.0,13.3
1.0,3370.0,3409.0,0.0,385.0,16.6
1.0,3514.0,3554.0,0.0,395.0,816.9
1.0,3661.0,3700.0,0.0,406.0,640.2
1.0,3806.0,3850.0,0.0,416.0,430.1
1.0,3952.0,4000.0,0.0,426.0,312.8
1.0,4101.0,4152.0,0.0,436.0,143.1
1.0,4253.0,4306.0,0.0,447.0,59.8
1.0,4404.0,4462.0,0.0,457.0,18.9
1.0,4559.0,4622.0,0.0,467.0,12.3
1.0,4717.0,4782.0,0.0,477.0,10.6
1.0,4880.0,4942.0,0.0,487.0,13.9
1.0,5039.0,5106.0,0.0,497.0,14.1
1.0,5200.0,5270.0,0.0,507.0,13.6
1.0,5366.0,5436.0,0.0,517.0,16.4
1.0,5532.0,5605.0,0.0,527.0,20.3
1.0,5698.0,5775.0,0.0,538.0,27.9
1.0,5867.0,5947.0,0.0,548.0,56.3
1.0,6036.0,6120.0,0.0,558.0,249.6
1.0,6208.0,6296.0,0.0,568.0,516.4
1.0,6380.0,6470.0,0.0,579.0,713.3
1.0,6556.0,6647.0,0.0,589.0,1029.8
1.0,6732.0,6827.0,0.0,598.0,1113.7
1.0,6910.0,7007.0,0.0,608.0,13.4
1.0,7090.0,7187.0,0.0,619.0,14.1
1.0,7272.0,7370.0,0.0,629.0,16.7
1.0,7456.0,7552.0,0.0,639.0,16.4
1.0,7642.0,7736.0,0.0,649.0,19.7
1.0,7828.0,7922.0,0.0,660.0,32.6
1.0,8016.0,8109.0,0.0,670.0,75.6
1.0,8204.0,8294.0,0.0,680.0,310.0
1.0,8394.0,8483.0,0.0,690.0,550.5
1.0,8586.0,8674.0,0.0,701.0,750.9
1.0,8776.0,8865.0,0.0,710.0,941.8
1.0,8968.0,9056.0,0.0,720.0,1132.1
1.0,9158.0,9249.0,0.0,730.0,1146.2
1.0,9348.0,9442.0,0.0,740.0,1015.8
1.0,9543.0,9638.0,0.0,751.0,878.6
1.0,9742.0,9836.0,0.0,761.0,653.9
1.0,9939.0,10032.0,0.0,771.0,480.2
1.0,10138.0,10230.0,0.0,781.0,292.8
1.0,10341.0,10430.0,0.0,792.0,177.3
1.0,10543.0,10630.0,0.0,802.0,79.3
1.0,10745.0,10832.0,0.0,812.0,25.7
1.0,10948.0,11035.0,0.0,821.0,11.4
1.0,11151.0,11237.0,0.0,832.0,11.9
1.0,11356.0,11441.0,0.0,842.0,10.3
1.0,11561.0,11648.0,0.0,852.0,12.4
1.0,11767.0,11856.0,0.0,862.0,13.3
1.0,11972.0,12063.0,0.0,873.0,13.6
1.0,12176.0,12270.0,0.0,883.0,16.0
1.0,12380.0,12478.0,0.0,893.0,20.6
1.0,12588.0,12690.0,0.0,903.0,37.8
1.0,12798.0,12906.0,0.0,914.0,107.3
1.0,13007.0,13121.0,0.0,923.0,348.7
1.0,13219.0,13336.0,0.0,933.0,601.8
1.0,13432.0,13550.0,0.0,943.0,829.7
1.0,13644.0,13764.0,0.0,953.0,11.3
1.0,13856.0,13980.0,0.0,964.0,13.5
1.0,14067.0,14196.0,0.0,974.0,11.7
1.0,14279.0,14412.0,0.0,984.0,12.9
1.0,14495.0,14630.0,0.0,994.0,16.4
1.0,14712.0,14852.0,0.0,1005.0,16.7
1.0,14932.0,15077.0,0.0,1015.0,22.9
1.0,15150.0,15300.0,0.0,1025.0,46.7
1.0,15368.0,15522.0,0.0,1034.0,179.5
1.0,15588.0,15743.0,0.0,1045.0,421.7
1.0,15807.0,15965.0,0.0,1055.0,652.1
1.0,16024.0,16186.0,0.0,1065.0,777.9
1.0,16240.0,16407.0,0.0,1075.0,1037.9
1.0,16461.0,16634.0,0.0,1086.0,1039.3
1.0,16684.0,16861.0,0.0,1096.0,914.9
1.0,16909.0,17093.0,0.0,1106.0,790.6
1.0,17133.0,17321.0,0.0,1116.0,694.7
1.0,17358.0,17549.0,0.0,1127.0,467.7
1.0,17584.0,17780.0,0.0,1137.0,315.6
1.0,17810.0,18009.0,0.0,1146.0,200.1
1.0,18036.0,18238.0,0.0,1156.0,103.2
1.0,18262.0,18469.0,0.0,1166.0,42.8
1.0,18491.0,18701.0,0.0,1177.0,11.5
1.0,18720.0,18934.0,0.0,1187.0,11.3
1.0,18952.0,19170.0,0.0,1197.0,11.2
1.0,19184.0,19402.0,0.0,1207.0,11.4
1.0,19419.0,19636.0,0.0,1218.0,12.0
1.0,19655.0,19870.0,0.0,1228.0,778.2
1.0,19891.0,20105.0,0.0,1238.0,571.1
1.0,20125.0,20337.0,0.0,1247.0,16.2
1.0,20362.0,20571.0,0.0,1258.0,268.8
1.0,20598.0,20808.0,0.0,1268.0,161.5
1.0,20836.0,21045.0,0.0,1278.0,83.7
1.0,21072.0,21280.0,0.0,1288.0,29.2
1.0,21304.0,21515.0,0.0,1299.0,12.6
1.0,21540.0,21752.0,0.0,1309.0,11.2
1.0,21780.0,21992.0,0.0,1319.0,11.1
1.0,22019.0,22231.0,0.0,1329.0,13.7
1.0,22260.0,22471.0,0.0,1340.0,11.7
1.0,22502.0,22713.0,0.0,1350.0,12.9
1.0,22744.0,22955.0,0.0,1359.0,15.4
1.0,22986.0,23195.0,0.0,1369.0,18.6
1.0,23227.0,23433.0,0.0,1379.0,29.4
1.0,23467.0,23674.0,0.0,1390.0,85.2
