encoder,seconds,current (A),charge (C)
2126.0,0.32200000000000001,0.014,0.0045079999999999999
2208.0,0.32900000000000001,0.014999999999999999,0.0049350000000000002
2291.0,0.33700000000000002,1.1682000000000001,0.39368340000000007
2374.0,0.34399999999999997,0.89729999999999999,0.30867119999999998
2458.0,0.35199999999999998,0.015699999999999999,0.005526399999999999
2544.0,0.35899999999999999,0.019100000000000002,0.0068569000000000008
2630.0,0.36699999999999999,0.56179999999999997,0.20618059999999999
2715.0,0.375,0.032500000000000001,0.0121875
2802.0,0.38200000000000001,0.056000000000000001,0.021392000000000001
3069.0,0.40400000000000003,0.53520000000000001,0.21622080000000002
3159.0,0.41299999999999998,0.85650000000000004,0.35373450000000001
3626.0,0.45000000000000001,0.013599999999999999,0.0061199999999999996
3722.0,0.45800000000000002,0.0144,0.0065951999999999998
4012.0,0.47999999999999998,0.018100000000000002,0.0086879999999999995
4111.0,0.48699999999999999,0.0223,0.010860099999999999
4824.0,0.54100000000000004,0.87109999999999999,0.47126510000000005
4928.0,0.54800000000000004,0.011900000000000001,0.0065212000000000013
5033.0,0.55600000000000005,0.012699999999999999,0.0070612000000000001
5138.0,0.56299999999999994,1.1060000000000001,0.62267799999999995
5246.0,0.56999999999999995,1.026,0.58482000000000001
5571.0,0.59299999999999997,0.75739999999999996,0.44913819999999993
5680.0,0.60099999999999998,0.017500000000000002,0.010517500000000001
6013.0,0.624,0.20569999999999999,0.12835679999999999
6123.0,0.63100000000000001,0.13219999999999998,0.083418199999999984
6683.0,0.66900000000000004,0.91189999999999993,0.61006110000000002
6795.0,0.67600000000000005,0.011900000000000001,0.0080444000000000019
7139.0,0.69799999999999995,0.0144,0.0100512
7255.0,0.70699999999999996,0.014800000000000001,0.0104636
7840.0,0.74399999999999999,0.22269999999999998,0.1656888
7958.0,0.752,0.13689999999999999,0.10294879999999999
8317.0,0.77400000000000002,0.016,0.012384000000000001
8437.0,0.78200000000000003,0.0111,0.0086802000000000008
8557.0,0.79000000000000004,0.8518,0.67292200000000002
8679.0,0.79700000000000004,0.0112,0.008926400000000001
8802.0,0.80500000000000005,0.0115,0.0092575000000000001
9172.0,0.82699999999999996,0.013599999999999999,0.011247199999999999
9295.0,0.83499999999999996,0.013699999999999999,0.011439499999999998
9670.0,0.85699999999999998,0.027399999999999997,0.023481799999999997
9795.0,0.86499999999999999,0.045899999999999996,0.039703499999999996
10433.0,0.90200000000000002,0.0109,0.0098317999999999999
10562.0,0.91000000000000003,0.84860000000000002,0.77222600000000008
10950.0,0.93300000000000005,0.011599999999999999,0.0108228
11080.0,0.93999999999999995,0.8952,0.8414879999999999
11470.0,0.96299999999999997,0.5132000000000001,0.49421160000000008
11602.0,0.97099999999999997,0.3831,0.37199009999999999
12003.0,0.99299999999999999,0.1305,0.12958649999999999
12135.0,1.0,0.072700000000000001,0.072700000000000001
12268.0,1.0089999999999999,0.40450000000000003,0.40814049999999996
12402.0,1.016,0.54759999999999998,0.55636160000000001
12538.0,1.0229999999999999,0.0109,0.0111507
12673.0,1.0309999999999999,0.010800000000000001,0.0111348
12808.0,1.038,0.8831,0.91665780000000008
12941.0,1.046,0.0111,0.0116106
13077.0,1.054,0.011599999999999999,0.0122264
13490.0,1.0760000000000001,0.0143,0.015386800000000001
13628.0,1.083,0.0154,0.016678200000000001
14316.0,1.121,0.084599999999999995,0.094836599999999993
14456.0,1.1279999999999999,0.42630000000000001,0.48086639999999997
14872.0,1.151,0.0132,0.0151932
15011.0,1.159,0.87160000000000004,1.0101844
15710.0,1.1970000000000001,0.60929999999999995,0.72933209999999993
15851.0,1.204,0.015099999999999999,0.018180399999999999
16277.0,1.2270000000000001,0.0402,0.049325400000000005
16423.0,1.2350000000000001,0.087300000000000003,0.10781550000000001
16569.0,1.242,0.2702,0.33558840000000001
16709.0,1.2490000000000001,0.0402,0.050209800000000006
16854.0,1.2569999999999999,0.55000000000000004,0.69135000000000002
16996.0,1.2649999999999999,0.65610000000000002,0.82996649999999994
17138.0,1.272,0.0106,0.013483200000000001
17283.0,1.28,0.010500000000000001,0.013440000000000001
17432.0,1.2869999999999999,0.97609999999999997,1.2562407
17876.0,1.3109999999999999,0.011900000000000001,0.015600900000000001
18025.0,1.3180000000000001,0.012500000000000001,0.016475

